curso_final,disciplina,semestre,professor
Administração,Empreendedorismo,1º,Fábio Antônio Silva
Administração,Fundamentos de Administração,1º,Rafael de Arruda
Administração,Fundamentos de Administração,1º,Valdir da Costa Pereira
Administração,Fundamentos de Administração de Empresas,1º,Rafael de Arruda
Administração,Fundamentos de Administração de Empresas,1º,Valdir da Costa Pereira
Administração,Inteligência Artificial Aplicada,1º,Rafael de Arruda
Administração,Inteligência Artificial Aplicada,1º,Valdir da Costa Pereira
Administração,Introdução à contabilidade,1º,Reginaldo José da Silva
Administração,Introdução à Contabilidade,1º,Reginaldo José da Silva
Administração,Linguagem e argumentação,1º,Inês Velter
Administração,Linguagem e Argumentação,1º,Inês Velter Marques
Administração,Matemática Financeira,1º,Pedro Paulo da Silva
Administração,Matemática Financeira I,1º,Pedro Paulo da Silva
Administração,Metodologia Científica,1º,Camila de Brito Quadros
Administração,Noções de Ciências Sociais,1º,Marinês Viel Nakamua
Administração,Noções de Direito,1º,Tânia Rejane de Souza
Administração,Psicologia,1º,Silvia Mara Pagliuzo Muraki
Administração,Psicologia,1º,Silvia Muraki
Administração,Contabilidade Empresarial,2º,Reginaldo José da Silva
Administração,Empreendedorismo,2º,Fábio Antonio Silva
Administração,Empreendedorismo,2º,Fábio Antônio Silva
Administração,Matemática Financeira,2º,Pedro Paulo da Silva
Administração,Matemática Financeira II,2º,Pedro Paulo da Silva
Administração,Noções de Ciências Sociais,2º,Gilmar Lima Caetano
Administração,Noções de Ciências Sociais,2º,Marinês Viel Nakamua
Administração,Noções de Ciências Sociais,2º,Marinês Viel Nakamura
Administração,Noções de Direito,2º,Tânia Rejane de Souza
Administração,Administração da Qualidade e Produtividade,3º,Rafael de Arruda
Administração,Direito do Trabalho,3º,Cecilia Gabriela
Administração,Direito do Trabalho,3º,José Parpinelli
Administração,Estatística,3º,Vera Fatima Cursino
Administração,Estatística,3º,Vera Fátima Cursino de Almeida
Administração,Gestão de Custos,3º,Reginaldo José da Silva
Administração,Introdução a Economia,3º,Gabriela Pagliusi Paes de Lima
Administração,Introdução a Economia,3º,Gabrielle Pagliusi Paes de Lima
Administração,Direito Tributário,4º,Denis D' Amato de Déa
Administração,Direito Tributário,4º,Denis de Déa
Administração,Direito Tributário,4º,Ewerton Araújo de Brito
Administração,Direito Tributário,4º,Ewerton Brito
Administração,Direito Tributário,4º,Robson Lezainski
Administração,Linguagem e Argumentação,4º,Inês Velter Marques
Administração,Macroeconomia,4º,Gabriela Pagliusi Paes de Lima
Administração,Macroeconomia,4º,Gabriele Pagliusi Paes de Lima
Administração,Macroeconomia,4º,Gabrielle Pagliusi Paes de Lima
Administração,Metodologia cientifica,4º,Camila de Brito Quadros
Administração,Metodologia científica,4º,Camila de Brito Quadros
Administração,Metodologia Científica,4º,Camila de Brito Quadros
Administração,Noções de Investimento e Mercado Financeiro,4º,Guilherme Grigoletti
Administração,Noções de Investimento e Mercado Financeiro,4º,Guilherme Luiz Grigoletti
Administração,Noções de Investimento e Mercado Financeiro,4º,Reginaldo José da Silva
Administração,Teorias da administração,4º,Fábio Antonio Silva
Administração,Teorias da Administração,4º,Fábio Antonio Silva
Administração,Teorias da administração,4º,Fábio Antônio Silva
Administração,Teorias da Administração,4º,Fábio Antônio Silva
Administração,Teorias da administração,4º,Marcos Paulo Alves de Oliveira
Administração,Teorias da Administração,4º,Marcos Paulo Alves de Oliveira
Administração,Administração da Produção I,5º,Euclides Maranho
Administração,Administração da Produção I,5º,Josimar Crespan
Administração,Administração da Produção II,5º,Josimar Crespan
Administração,Administração de Recursos Materiais e Patrimoniais I,5º,Fransérgio Sampatti Santos Matos
Administração,Administração de Recursos Materiais e Patrimoniais II,5º,Fransérgio Sampatti Santos Matos
Administração,Gestão de Pessoas I,5º,Valdir da Costa Pereira
Administração,Gestão de Pessoas II,5º,Valdir da Costa Pereira
