curso_final,disciplina,semestre,professores,playlist_id,playlist_nome,kaltura_status,ordem_playlist,aula,entry_id,nome_video,tags,duracao_seg,embed_url,thumbnail_url
Administração,Empreendedorismo,1º,Fábio Antônio Silva,1_3iet4azf,Empreendedorismo,sem_match,1,,1_mshche9v,Aula - Considerações Iniciais,"considerações iniciais, fransergio matos",122,https://cdnapisec.kaltura.com/p/1878021/sp/187802100/embedIframeJs/uiconf_id/55378663/partner_id/1878021?iframeembed=true&playerId=kaltura_player_1mshche9v&entry_id=1_mshche9v&flashvars[streamerType]=auto,https://cdnsecakmi.kaltura.com/p/1878021/thumbnail/entry_id/1_mshche9v
Administração,Empreendedorismo,1º,Fábio Antônio Silva,1_3iet4azf,Empreendedorismo,ok,2,1,1_xluhrk5r,Aula 01 - Introdução ao Empreendedorismo,"aula01, fransergio matos",930,https://cdnapisec.kaltura.com/p/1878021/sp/187802100/embedIframeJs/uiconf_id/55378663/partner_id/1878021?iframeembed=true&playerId=kaltura_player_1xluhrk5r&entry_id=1_xluhrk5r&flashvars[streamerType]=auto,https://cdnsecakmi.kaltura.com/p/1878021/thumbnail/entry_id/1_xluhrk5r
Administração,Empreendedorismo,1º,Fábio Antônio Silva,1_3iet4azf,Empreendedorismo,ok,3,2,1_gkor9q2k,Aula - Empreendedorismo: Panorama Geral,"aula02, fransergio matos",784,https://cdnapisec.kaltura.com/p/1878021/sp/187802100/embedIframeJs/uiconf_id/55378663/partner_id/1878021?iframeembed=true&playerId=kaltura_player_1gkor9q2k&entry_id=1_gkor9q2k&flashvars[streamerType]=auto,https://cdnsecakmi.kaltura.com/p/1878021/thumbnail/entry_id/1_gkor9q2k
Administração,Empreendedorismo,1º,Fábio Antônio Silva,1_3iet4azf,Empreendedorismo,ok,4,3,1_rzo1g9hj,Aula 03 - Fundamentos do Comportamento Empreendedor,"aula03, fransergio matos",782,https://cdnapisec.kaltura.com/p/1878021/sp/187802100/embedIframeJs/uiconf_id/55378663/partner_id/1878021?iframeembed=true&playerId=kaltura_player_1rzo1g9hj&entry_id=1_rzo1g9hj&flashvars[streamerType]=auto,https://cdnsecakmi.kaltura.com/p/1878021/thumbnail/entry_id/1_rzo1g9hj
Administração,Empreendedorismo,1º,Fábio Antônio Silva,1_3iet4azf,Empreendedorismo,ok,5,4,1_ohhdr99i,Aula - Criatividade Empreendedora,"auula04, fransergio matos",1026,https://cdnapisec.kaltura.com/p/1878021/sp/187802100/embedIframeJs/uiconf_id/55378663/partner_id/1878021?iframeembed=true&playerId=kaltura_player_1ohhdr99i&entry_id=1_ohhdr99i&flashvars[streamerType]=auto,https://cdnsecakmi.kaltura.com/p/1878021/thumbnail/entry_id/1_ohhdr99i
Administração,Empreendedorismo,1º,Fábio Antônio Silva,1_3iet4azf,Empreendedorismo,ok,6,5,1_v3wcbr1f,Aula 05 - Fontes de Inovação,"aula05, fransergio matos",922,https://cdnapisec.kaltura.com/p/1878021/sp/187802100/embedIframeJs/uiconf_id/55378663/partner_id/1878021?iframeembed=true&playerId=kaltura_player_1v3wcbr1f&entry_id=1_v3wcbr1f&flashvars[streamerType]=auto,https://cdnsecakmi.kaltura.com/p/1878021/thumbnail/entry_id/1_v3wcbr1f
Administração,Empreendedorismo,1º,Fábio Antônio Silva,1_3iet4azf,Empreendedorismo,ok,7,6,1_onrztjht,Aula 06 - Construindo o Negócio,"aula06, fransergio matos",622,https://cdnapisec.kaltura.com/p/1878021/sp/187802100/embedIframeJs/uiconf_id/55378663/partner_id/1878021?iframeembed=true&playerId=kaltura_player_1onrztjht&entry_id=1_onrztjht&flashvars[streamerType]=auto,https://cdnsecakmi.kaltura.com/p/1878021/thumbnail/entry_id/1_onrztjht
Administração,Empreendedorismo,1º,Fábio Antônio Silva,1_3iet4azf,Empreendedorismo,ok,8,7,1_a1g7wpab,Aula 07 - Desenvolvimento de Novos Produtos,"aula07, fransergio matos",673,https://cdnapisec.kaltura.com/p/1878021/sp/187802100/embedIframeJs/uiconf_id/55378663/partner_id/1878021?iframeembed=true&playerId=kaltura_player_1a1g7wpab&entry_id=1_a1g7wpab&flashvars[streamerType]=auto,https://cdnsecakmi.kaltura.com/p/1878021/thumbnail/entry_id/1_a1g7wpab
Administração,Empreendedorismo,1º,Fábio Antônio Silva,1_3iet4azf,Empreendedorismo,ok,9,8,1_pxcvc4p4,Aula 08 - Criação de Novos Negócios,"aula08, fransergio matos",998,https://cdnapisec.kaltura.com/p/1878021/sp/187802100/embedIframeJs/uiconf_id/55378663/partner_id/1878021?iframeembed=true&playerId=kaltura_player_1pxcvc4p4&entry_id=1_pxcvc4p4&flashvars[streamerType]=auto,https://cdnsecakmi.kaltura.com/p/1878021/thumbnail/entry_id/1_pxcvc4p4
Administração,Fundamentos de Administração,1º,Rafael de Arruda | Valdir da Costa Pereira,0_gldn7bhs,Fundamentos de Administração de Empresas,ok,1,1,1_ax7h99ho,Aula 01 - A Administração,"aula01, valdir da costa pereira",1396,https://cdnapisec.kaltura.com/p/1878021/sp/187802100/embedIframeJs/uiconf_id/55378663/partner_id/1878021?iframeembed=true&playerId=kaltura_player_1ax7h99ho&entry_id=1_ax7h99ho&flashvars[streamerType]=auto,https://cdnsecakmi.kaltura.com/p/1878021/thumbnail/entry_id/1_ax7h99ho
